sourceid rave_met rave_metcorr rave_meterr rave_teff rave_tefferr rave_logg rave_loggerr lamost_met lamost_meterr lamost_teff lamost_tefferr lamost_logg lamost_loggerr tgas_parallax tgas_parallaxerr
2135550854464294784 nan nan nan nan nan nan nan nan nan nan nan nan nan 47.1217996025 0.227402491938
3740176921448479488 nan nan nan nan nan nan nan nan nan nan nan nan nan 54.7017637641 0.881991905781
2367734656180397952 nan nan nan nan nan nan nan nan nan nan nan nan nan 28.8452499419 0.279591907219
3030262464287845120 nan nan nan nan nan nan nan nan nan nan nan nan nan 1.05202302426 0.269501877555
4154598521997533312 nan nan nan nan nan nan nan nan nan nan nan nan nan 36.7205442686 0.261448774512
3770419607244899200 nan nan nan nan nan nan nan nan nan nan nan nan nan 24.2823179298 0.237354623955
3770419607244899200 nan nan nan nan nan nan nan nan nan nan nan nan nan 24.2823179298 0.237354623955
3022099964839887872 nan nan nan nan nan nan nan nan nan nan nan nan nan 49.7848221419 0.280510592927
1759623808836285184 nan nan nan nan nan nan nan nan nan nan nan nan nan 20.1034132252 0.243546373621
1193071958401880448 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.12454540831 0.240495694379
96530592568878976 nan nan nan nan nan nan nan nan nan nan nan nan nan 0.922818345985 0.292992007373
625137162857354880 nan nan nan nan nan nan nan nan nan nan nan nan nan 0.396839860803 0.411094309384
4584639303695069184 nan nan nan nan nan nan nan nan nan nan nan nan nan 35.1096962668 0.383044836205
4483640811269901056 nan nan nan nan nan nan nan nan nan nan nan nan nan 3.18523646067 0.650962858535
6828450684368336640 nan nan nan nan nan nan nan nan nan nan nan nan nan 21.0098118199 0.224312438738
424427534321571712 nan nan nan nan nan nan nan nan nan nan nan nan nan 2.31809405013 0.424340314945
2105274977158196480 nan nan nan nan nan nan nan nan nan nan nan nan nan 1.97084011071 0.314765724039
3537576785745979904 nan nan nan nan nan nan nan nan nan nan nan nan nan 14.7102532103 0.416279109695
1651268758985195264 nan nan nan nan nan nan nan nan nan nan nan nan nan 43.7110797941 0.326933845983
363012285125644288 nan nan nan nan nan nan nan nan nan nan nan nan nan 4.50054589486 0.277786779795
3924009630614795008 nan nan nan nan nan nan nan -0.095 0.139 4657.5 96.58 2.497 2.497 1.63691974302 0.499516927672
