sourceid rave_met rave_metcorr rave_meterr rave_teff rave_tefferr rave_logg rave_loggerr lamost_met lamost_meterr lamost_teff lamost_tefferr lamost_logg lamost_loggerr tgas_parallax tgas_parallaxerr
9277129363072.0 -0.5 -0.2775 0.15 7000.53 197.0 4.0 0.27 0.28600001335144043 0.1809999942779541 7354.759765625 209.9600067138672 3.9760000705718994 0.38600000739097595 3.90032893506844 0.3234880030045522
16527034310784.0 -0.64 -0.376138 0.09 4767.8 65.0 3.32 0.17 -0.17399999499320984 0.27300000190734863 5112.509765625 220.86000061035156 3.627000093460083 0.5860000252723694 8.663080444437403 0.2558670782893132
16733192740608.0 -0.25 -0.0935522 0.1 5542.9 76.0 4.92 0.12 0.0820000022649765 0.13699999451637268 5864.56005859375 133.4199981689453 4.474999904632568 0.4740000069141388 5.698204585355906 0.26367727026143706
26834955821312.0 -0.42 -0.214864 0.1 5989.6 76.0 4.18 0.12 -0.03400000184774399 0.21400000154972076 6050.33984375 229.85000610351562 4.044000148773193 0.5740000009536743 6.20249216692046 0.24725265183169948
8175315629137280.0 -0.02 0.102538 0.09 5931.5 57.0 4.51 0.08 0.03099999949336052 0.10100000351667404 6046.3798828125 94.73999786376953 4.341000080108643 0.4659999907016754 2.2819783884685365 0.3171490489902428
8321722474648064.0 -0.34 -0.158602 0.09 5615.2 57.0 4.56 0.08 0.0010000000474974513 0.10199999809265137 5888.83984375 88.55000305175781 4.4720001220703125 0.46000000834465027 4.8460578033375725 0.2767402601253845
8395973868963840.0 -0.25 -0.08772 0.1 5345.55 76.0 4.7 0.12 0.21799999475479126 0.08699999749660492 5475.8798828125 72.70999908447266 4.60099983215332 0.38999998569488525 1.9263821735524564 0.3260889148795816
9459235972719360.0 0.25 0.322125 0.14 4999.79 119.0 4.0 0.23 0.039000000804662704 0.10100000351667404 5416.60986328125 80.08000183105469 4.386000156402588 0.43799999356269836 1.4054729071378669 0.6184029810876223
1.002400699249472e+16 0.11 0.202485 0.1 5604.9 76.0 4.55 0.12 0.16099999845027924 0.10000000149011612 5605.490234375 88.83000183105469 4.48799991607666 0.43799999356269836 4.651414523525401 0.2464371492406368
1.0136535135888128e+16 -0.32 -0.144398 0.1 5808.2 76.0 4.65 0.12 0.023000000044703484 0.0949999988079071 5942.669921875 86.58000183105469 4.442999839782715 0.4410000145435333 1.3620961173151764 0.25486010404577947
1.0496075437990016e+16 -0.06 0.0678084 0.1 5351.9 76.0 4.63 0.12 0.032999999821186066 0.10899999737739563 5687.27978515625 94.61000061035156 4.436999797821045 0.46799999475479126 5.048587108300361 0.2915577588173094
1.0765868103395328e+16 0.03 0.157004 0.1 5732.8 76.0 3.94 0.12 0.13600000739097595 0.0949999988079071 5886.27978515625 87.3499984741211 4.447999954223633 0.46399998664855957 2.571371023812624 0.5131300181909474
1.1104998721063552e+16 -0.25 -0.08225 0.1 5000.0 76.0 4.5 0.12 0.10700000077486038 0.10000000149011612 5407.64990234375 84.08999633789062 4.368000030517578 0.45100000500679016 1.6236173271234506 0.5120979704552969
1.120199626247872e+16 -0.18 -0.0112196 0.12 6040.5 83.0 4.01 0.16 0.01899999938905239 0.12200000137090683 5892.14013671875 116.62000274658203 4.013000011444092 0.5640000104904175 5.912547438404426 0.6124036894213056
1.3686548943881498e+17 -0.5 -0.212769 0.09 4800.1 65.0 2.16 0.17 -0.15600000321865082 0.09799999743700027 4839.6201171875 59.54999923706055 2.509000062942505 0.5189999938011169 1.923837112290121 0.7105327922697867
1.3887354126853453e+17 0.06 0.177694 0.1 5793.45 76.0 4.03 0.12 0.22499999403953552 0.12600000202655792 5820.10986328125 132.4199981689453 4.251999855041504 0.5009999871253967 1.8731159249271596 0.24877085301301965
1.4438305659628992e+17 0.14 0.230972 0.09 5913.6 57.0 4.33 0.08 0.17800000309944153 0.07599999755620956 6028.60009765625 68.58000183105469 4.36899995803833 0.4659999907016754 0.8802752752268161 0.3109756969989863
3.071322523436814e+17 -1.42 -1.12868 0.19 5590.7 136.0 3.89 0.18 -0.3199999928474426 0.37400001287460327 5992.6298828125 362.5299987792969 3.938999891281128 0.6759999990463257 17.16043180613711 0.35934880799275143
3.071418043509381e+17 -0.29 -0.0826696 0.09 5498.4 69.0 3.42 0.15 -0.17000000178813934 0.46399998664855957 5909.740234375 460.6199951171875 4.131999969482422 0.7269999980926514 2.416367314331979 0.4270436569060982
3.0714517160530266e+17 -0.35 -0.160677 0.1 5024.8 76.0 4.34 0.12 -0.004000000189989805 0.15800000727176666 5203.31005859375 121.61000061035156 4.671999931335449 0.39100000262260437 1.2613354531676597 0.41618772723150954
3.071476111467283e+17 0.75 0.66225 0.34 6750.0 361.0 4.5 0.43 -0.06400000303983688 0.1850000023841858 5979.31982421875 175.91000366210938 4.465000152587891 0.5009999871253967 3.9885467703925936 0.2759872442482825
3.071989789556128e+17 -0.64 -0.320072 0.09 4725.8 65.0 1.85 0.17 -0.014000000432133675 0.13500000536441803 4590.06005859375 96.6500015258789 2.437000036239624 0.4650000035762787 4.697527552764242 0.9516710167448726
3.072442307313015e+17 -0.13 0.0188589 0.1 5648.2 76.0 4.37 0.12 0.10700000077486038 0.1379999965429306 5720.18017578125 125.97000122070312 4.517000198364258 0.49000000953674316 4.131069726575762 0.29660902126120864
3.072661866041138e+17 -1.09 -0.787631 0.18 5737.2 94.0 3.37 0.25 -0.531000018119812 0.2240000069141388 6197.66015625 181.64999389648438 4.201000213623047 0.49399998784065247 -0.32164624730826996 0.9004533966559527
